"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.3771044776841818","621 /  132   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.2787916480141074","1245 /  46   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.2078939100031504","382 /  63   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.2042636704198626","801 /  40   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.19345578375690198","1442 /  187   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.15695734851993562","601 /  40   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.14117388678967457","156 /  5   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.13069733655405016","177 /  15   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.13032857829504635","1467 /  111   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.12969840943956013","1410 /  28   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.128298926218164","662 /  54   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.1271432695888968","103 /  17   "
"Tubulin beta-1 chain","TUBB1","Q9H4B7","CHEMBL1915","Structural protein","0.1264965657104371","31 /  32   "
"5-hydroxytryptamine receptor 7","HTR7","P34969","CHEMBL3155","Family A G protein-coupled receptor","0.12480449371875094","1130 /  8   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.12480449371875094","2459 /  47   "
"Catenin beta-1/Protein Wnt-3a","N/A","P35222&P56704","CHEMBL6066542","Unclassified protein","0.11915559746975347","71 /  20   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.11767150422336242","15 /  18   "
"Inosine-5'-monophosphate dehydrogenase 2","IMPDH2","P12268","CHEMBL2002","Oxidoreductase","0.1175408214831462","282 /  33   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.11514400855506558","1427 /  50   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.11245868172612633","2467 /  58   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.11082395695653009","1818 /  30   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.11082395695653009","2523 /  50   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.11082395695653009","2107 /  39   "
